ts_code,name,category,item,status,evidence,gap
603658.SH,安图生物,基本面,资本开支规模,当期恶化，持续性待确认,2026H1资本开支2.27亿元高于CFO2.16亿元,2026H2验证是否为付款时点因素
603658.SH,安图生物,基本面,经营现金流,当期恶化，持续性待确认,2026H1 CFO同比-47.4%,H2验证回款和营运资金
603658.SH,安图生物,基本面,自由现金流,当期恶化，持续性待确认,2026H1 FCF代理-0.11亿元，同比-113.1%,H2验证付款时点和回款
603658.SH,安图生物,基本面,投资资金来源,当期恶化，持续性待确认,CFO不足覆盖资本开支，但当期未见净融资流入,核验现金储备消耗与付款节奏
603658.SH,安图生物,基本面,融资停止后的可持续性,有利,严格净现金12.05亿元且2026H1 CFO为正,仍需核验受限资金和到期债务
603658.SH,安图生物,基本面,原材料与中间品成本,有利,2026H1毛利率同比变化+2.82个百分点，未见明显成本吞噬,仍缺分部采购价格
603658.SH,安图生物,基本面,定价权与成本转嫁,有利,毛利率同比提升2.82个百分点，至少未显示当期转嫁恶化,不能仅凭毛利率证明长期定价权
603658.SH,安图生物,基本面,营收向利润的转化,有利,2026H1收入同比-0.1%、扣非同比-9.7%,仍需分部毛利验证
603658.SH,安图生物,基本面,利润向自由现金流的转化,当期恶化，持续性待确认,归母利润4.97亿元未转成正FCF代理,H2验证现金回收
603658.SH,安图生物,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
603658.SH,安图生物,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
603658.SH,安图生物,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
603658.SH,安图生物,流动性,高投资项目对低成本资金的依赖,有利,未同时出现资本开支超过CFO与融资债务明显增加,未逐项目测算ROIC
603658.SH,安图生物,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
603658.SH,安图生物,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
603658.SH,安图生物,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
603658.SH,安图生物,流动性,主线增量资金,证据不足,个股20日资金分档净额0.03亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
603658.SH,安图生物,流动性,融资余额增速,当期恶化，持续性待确认,融资余额约40日增长7.5%,与估值和成交扩张继续对照
603658.SH,安图生物,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
603658.SH,安图生物,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
603658.SH,安图生物,流动性,龙头表现,证据不足,个股20日回报-0.8%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
603658.SH,安图生物,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
603658.SH,安图生物,流动性,获利资金与回调承接,证据不足,20日价格与资金信号分化或数据缺失,补回调—反弹窗口与大额交易
